wave,source_id,source_name,sponsor,field_period,section,measure,weighted_percent,unweighted_n,denominator,comparability_note
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Any guidance - Student-facing supplementation,42.5,1904,Valid responses excluding not applicable and blank,Includes formal and informal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Formal written guidance - Student-facing supplementation,7.3,1904,Valid responses excluding not applicable and blank,Task-specific formal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Any guidance - Analyzing learning data,35.7,1920,Valid responses excluding not applicable and blank,Includes formal and informal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Formal written guidance - Analyzing learning data,5.9,1920,Valid responses excluding not applicable and blank,Task-specific formal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Any guidance - One-on-one tutoring,31.5,1894,Valid responses excluding not applicable and blank,Includes formal and informal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Formal written guidance - One-on-one tutoring,4.9,1894,Valid responses excluding not applicable and blank,Task-specific formal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Any guidance - Coaching on teaching,29.1,1916,Valid responses excluding not applicable and blank,Includes formal and informal guidance
2026,GAL0226T,American Teacher Panel Survey on Teacher Expectations and Responsibilities,"Gallup, Inc. / RAND ATP",February 9-March 2 2026,Guidance,Formal written guidance - Coaching on teaching,6.5,1916,Valid responses excluding not applicable and blank,Task-specific formal guidance
2025,GAL0425T,American Teacher Panel Survey on Teacher Satisfaction and Resources,"Gallup, Inc. / RAND ATP",Spring 2025,Equity,High-quality AI tools - Majority white students,80.8,722,Valid within school ethnic composition (excl. not applicable),Resource-adequacy perception; context dataset
2025,GAL0425T,American Teacher Panel Survey on Teacher Satisfaction and Resources,"Gallup, Inc. / RAND ATP",Spring 2025,Equity,High-quality AI tools - Majority students of color,71.3,764,Valid within school ethnic composition (excl. not applicable),Resource-adequacy perception; context dataset
2024,SPP-Dec2024,School Pulse Panel,NCES,December 2024,Equity,AI taught to students - Lower-poverty schools,49.0,,Weighted school estimates (neighborhood IPR > 200),Aggregate public estimate; context dataset
2024,SPP-Dec2024,School Pulse Panel,NCES,December 2024,Equity,AI taught to students - Higher-poverty schools,39.0,,Weighted school estimates (neighborhood IPR <= 200),Aggregate public estimate; context dataset
